stats:,87.52685624012638,125.47163972431728
position,trigrams,count
0,"('right', 'weve', 'got')",71
1,"('pull', 'us', 'troop')",42
2,"('us', 'troop', 'iraq')",65
3,"('foreign', 'relat', 'committe')",102
4,"('foreign', 'polici', 'experi')",39
5,"('im', 'look', 'forward')",42
6,"('get', 'job', 'done')",69
7,"('let', 'take', 'look')",670
8,"('say', 'dont', 'want')",65
9,"('well', 'let', 'ask')",269
10,"('know', 'im', 'go')",60
11,"('im', 'go', 'make')",58
12,"('go', 'make', 'case')",32
13,"('hillari', 'clinton', 'barack')",48
14,"('clinton', 'barack', 'obama')",59
15,"('well', 'think', 'that')",109
16,"('think', 'that', 'import')",58
17,"('go', 'leav', 'want')",206
18,"('leav', 'want', 'thank')",213
19,"('want', 'thank', 'much')",545
20,"('thank', 'much', 'join')",167
21,"('much', 'join', 'us')",165
22,"('join', 'us', 'today')",134
23,"('happi', 'new', 'year')",85
24,"('come', 'sunday', 'panel')",68
25,"('next', 'fox', 'news')",827
26,"('fox', 'news', 'sunday')",2555
27,"('well', 'get', 'latest')",46
28,"('well', 'ask', 'panel')",163
29,"('panel', 'charl', 'krauthamm')",44
30,"('charl', 'krauthamm', 'mara')",33
31,"('krauthamm', 'mara', 'liasson')",33
32,"('mara', 'liasson', 'bill')",321
33,"('liasson', 'bill', 'kristol')",318
34,"('bill', 'kristol', 'juan')",403
35,"('kristol', 'juan', 'william')",400
36,"('juan', 'william', 'well')",92
37,"('right', 'fox', 'news')",680
38,"('news', 'sunday', 'good')",471
39,"('sunday', 'good', 'morn')",333
40,"('good', 'morn', 'fox')",256
41,"('morn', 'fox', 'news')",258
42,"('fox', 'news', 'washington')",646
43,"('fox', 'news', 'correspond')",107
44,"('thank', 'join', 'us')",152
45,"('join', 'us', 'discuss')",72
46,"('senat', 'welcom', 'back')",208
47,"('welcom', 'back', 'fox')",634
48,"('back', 'fox', 'news')",653
49,"('thank', 'much', 'chris')",88
50,"('prime', 'minist', 'maliki')",115
51,"('us', 'forc', 'iraq')",36
52,"('well', 'dont', 'know')",175
53,"('dont', 'know', 'whether')",80
54,"('senat', 'arm', 'servic')",80
55,"('arm', 'servic', 'committe')",141
56,"('there', 'lot', 'talk')",66
57,"('al', 'qaida', 'terrorist')",35
58,"('weve', 'got', 'less')",90
59,"('got', 'less', 'minut')",113
60,"('less', 'minut', 'left')",226
61,"('theyr', 'go', 'go')",74
62,"('democrat', 'presidenti', 'candid')",31
63,"('next', 'coupl', 'week')",38
64,"('us', 'thank', 'chris')",41
65,"('panel', 'time', 'fox')",45
66,"('time', 'fox', 'news')",57
67,"('fox', 'news', 'contributor')",377
68,"('syndic', 'columnist', 'charl')",37
69,"('columnist', 'charl', 'krauthamm')",45
