position,ngrams
0,"('speaker', 'move', 'suspend')"
1,"('move', 'suspend', 'rule')"
2,"('suspend', 'rule', 'pass')"
3,"('rule', 'pass', 'bill')"
4,"('pass', 'bill', 'hr')"
5,"('bill', 'hr', '3980')"
6,"('hr', '3980', 'provid')"
7,"('3980', 'provid', 'identifi')"
8,"('provid', 'identifi', 'elimin')"
9,"('identifi', 'elimin', 'redund')"
10,"('elimin', 'redund', 'report')"
11,"('redund', 'report', 'requir')"
12,"('report', 'requir', 'develop')"
13,"('requir', 'develop', 'meaning')"
14,"('develop', 'meaning', 'perform')"
15,"('meaning', 'perform', 'metric')"
16,"('perform', 'metric', 'homeland')"
17,"('metric', 'homeland', 'secur')"
18,"('homeland', 'secur', 'prepared')"
19,"('secur', 'prepared', 'grant')"
20,"('prepared', 'grant', 'purpos')"
21,"('grant', 'purpos', 'amend')"
22,"('purpos', 'amend', 'clerk')"
23,"('amend', 'clerk', 'read')"
24,"('clerk', 'read', 'titl')"
25,"('read', 'titl', 'bill')"
26,"('titl', 'bill', 'text')"
27,"('bill', 'text', 'bill')"
28,"('text', 'bill', 'follow')"
29,"('bill', 'follow', 'hr')"
30,"('follow', 'hr', '3980')"
31,"('hr', '3980', 'enact')"
32,"('3980', 'enact', 'senat')"
33,"('enact', 'senat', 'hous')"
34,"('senat', 'hous', 'repres')"
35,"('hous', 'repres', 'unit')"
36,"('repres', 'unit', 'state')"
37,"('unit', 'state', 'america')"
38,"('state', 'america', 'congress')"
39,"('america', 'congress', 'assembl')"
40,"('congress', 'assembl', 'section')"
41,"('assembl', 'section', 'short')"
42,"('section', 'short', 'titl')"
43,"('short', 'titl', 'act')"
44,"('titl', 'act', 'cite')"
45,"('act', 'cite', 'redund')"
46,"('cite', 'redund', 'elimin')"
47,"('redund', 'elimin', 'enhanc')"
48,"('elimin', 'enhanc', 'perform')"
49,"('enhanc', 'perform', 'prepared')"
50,"('perform', 'prepared', 'grant')"
51,"('prepared', 'grant', 'act')"
52,"('grant', 'act', 'sec')"
53,"('act', 'sec', 'identif')"
54,"('sec', 'identif', 'report')"
55,"('identif', 'report', 'redund')"
56,"('report', 'redund', 'develop')"
57,"('redund', 'develop', 'perform')"
58,"('develop', 'perform', 'metric')"
59,"('prepared', 'grant', 'program')"
60,"('grant', 'program', 'generaltitl')"
61,"('program', 'generaltitl', 'xx')"
62,"('generaltitl', 'xx', 'homeland')"
63,"('xx', 'homeland', 'secur')"
64,"('homeland', 'secur', 'act')"
65,"('secur', 'act', '2002')"
66,"('act', '2002', 'usc')"
67,"('2002', 'usc', '601')"
68,"('usc', '601', 'et')"
69,"('601', 'et', 'seq')"
70,"('et', 'seq', 'amend')"
71,"('seq', 'amend', 'ad')"
72,"('amend', 'ad', 'end')"
73,"('ad', 'end', 'follow')"
74,"('end', 'follow', 'new')"
75,"('follow', 'new', 'section')"
76,"('new', 'section', 'sec')"
77,"('section', 'sec', '2023')"
78,"('sec', '2023', 'identif')"
79,"('2023', 'identif', 'report')"
80,"('perform', 'metric', 'generalth')"
81,"('metric', 'generalth', 'administr')"
82,"('generalth', 'administr', 'shall')"
83,"('administr', 'shall', 'grant')"
84,"('shall', 'grant', 'section')"
85,"('grant', 'section', '2003')"
86,"('section', '2003', '2004')"
87,"('2003', '2004', 'grant')"
88,"('2004', 'grant', 'specifi')"
89,"('grant', 'specifi', 'administr')"
90,"('specifi', 'administr', 'submit')"
91,"('administr', 'submit', 'report')"
92,"('submit', 'report', 'appropri')"
93,"('report', 'appropri', 'committe')"
94,"('appropri', 'committe', 'congress')"
95,"('committe', 'congress', 'later')"
96,"('congress', 'later', '120')"
97,"('later', '120', 'day')"
98,"('120', 'day', 'date')"
99,"('day', 'date', 'enact')"
100,"('date', 'enact', 'redund')"
101,"('enact', 'redund', 'elimin')"
102,"('grant', 'act', 'octob')"
103,"('act', 'octob', '1st')"
104,"('octob', '1st', 'everi')"
105,"('1st', 'everi', 'year')"
106,"('everi', 'year', 'thereaft')"
107,"('year', 'thereaft', 'identifi')"
108,"('thereaft', 'identifi', 'redund')"
109,"('identifi', 'redund', 'rule')"
110,"('redund', 'rule', 'regul')"
111,"('rule', 'regul', 'requir')"
112,"('regul', 'requir', 'report')"
113,"('requir', 'report', 'recipi')"
114,"('report', 'recipi', 'grant')"
115,"('recipi', 'grant', 'includ')"
116,"('grant', 'includ', 'plan')"
117,"('includ', 'plan', 'elimin')"
118,"('plan', 'elimin', 'identifi')"
119,"('elimin', 'identifi', 'redund')"
120,"('identifi', 'redund', 'requir')"
121,"('redund', 'requir', 'includ')"
122,"('requir', 'includ', 'plan')"
123,"('includ', 'plan', 'develop')"
124,"('plan', 'develop', 'improv')"
125,"('develop', 'improv', 'perform')"
126,"('improv', 'perform', 'metric')"
127,"('perform', 'metric', 'requir')"
128,"('metric', 'requir', 'section')"
129,"('requir', 'section', '2022a4')"
130,"('section', '2022a4', 'grant')"
131,"('2022a4', 'grant', 'includ')"
132,"('grant', 'includ', 'assess')"
133,"('includ', 'assess', 'program')"
134,"('assess', 'program', 'grant')"
135,"('program', 'grant', 'award')"
136,"('grant', 'award', 'plan')"
137,"('award', 'plan', 'requirementseach')"
138,"('plan', 'requirementseach', 'plan')"
139,"('requirementseach', 'plan', 'subsect')"
140,"('plan', 'subsect', 'shall')"
141,"('subsect', 'shall', 'develop')"
142,"('shall', 'develop', 'coordin')"
143,"('develop', 'coordin', 'state')"
144,"('coordin', 'state', 'local')"
145,"('state', 'local', 'tribal')"
146,"('local', 'tribal', 'territori')"
147,"('tribal', 'territori', 'govern')"
148,"('territori', 'govern', 'shall')"
149,"('govern', 'shall', 'includ')"
150,"('shall', 'includ', 'propos')"
151,"('includ', 'propos', 'timelin')"
152,"('propos', 'timelin', 'action')"
153,"('timelin', 'action', 'implement')"
154,"('action', 'implement', 'plan')"
155,"('implement', 'plan', 'program')"
156,"('plan', 'program', 'assess')"
157,"('program', 'assess', 'requirementseach')"
158,"('assess', 'requirementseach', 'program')"
159,"('requirementseach', 'program', 'assess')"
160,"('program', 'assess', 'subsect')"
161,"('assess', 'subsect', 'a3')"
162,"('subsect', 'a3', 'shall')"
163,"('a3', 'shall', 'includ')"
164,"('shall', 'includ', 'brief')"
165,"('includ', 'brief', 'summari')"
166,"('brief', 'summari', 'program')"
167,"('summari', 'program', 'purpos')"
168,"('program', 'purpos', 'object')"
169,"('purpos', 'object', 'perform')"
170,"('object', 'perform', 'goal')"
171,"('perform', 'goal', 'key')"
172,"('goal', 'key', 'find')"
173,"('key', 'find', 'assess')"
